id,choice1,choice2,state,money
11734_20220919,2,2,3,1
11734_20220919,2,2,3,0
11734_20220919,2,1,2,1
11734_20220919,2,2,3,1
11734_20220919,2,2,3,0
11734_20220919,2,2,3,0
11734_20220919,1,1,2,0
11734_20220919,1,1,2,0
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,3,0
11734_20220919,1,2,3,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,0
11734_20220919,1,2,2,0
11734_20220919,1,2,2,0
11734_20220919,2,1,3,0
11734_20220919,2,2,3,1
11734_20220919,2,2,3,0
11734_20220919,2,2,3,1
11734_20220919,2,2,3,0
11734_20220919,2,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,0
11734_20220919,1,2,3,1
11734_20220919,2,2,2,0
11734_20220919,1,2,2,0
11734_20220919,1,2,2,1
11734_20220919,1,2,3,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,3,0
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,3,1
11734_20220919,1,2,3,0
11734_20220919,1,2,2,0
11734_20220919,1,2,3,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,3,0
11734_20220919,1,2,2,0
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,1
11734_20220919,1,2,2,0
11947_20230601,1,2,2,0
11947_20230601,2,1,2,0
11947_20230601,1,2,2,0
11947_20230601,2,1,3,0
11947_20230601,1,2,2,0
11947_20230601,1,2,2,1
11947_20230601,2,1,3,1
11947_20230601,2,2,3,0
11947_20230601,1,1,2,1
11947_20230601,2,1,2,0
11947_20230601,1,2,2,1
11947_20230601,2,1,3,0
11947_20230601,1,2,2,0
11947_20230601,2,1,2,0
11947_20230601,1,1,2,1
11947_20230601,2,1,3,1
11947_20230601,2,2,3,1
11947_20230601,1,1,3,1
11947_20230601,1,2,2,1
11947_20230601,1,2,3,0
11947_20230601,2,1,3,0
11947_20230601,1,1,3,0
11947_20230601,2,2,3,1
11947_20230601,2,1,2,0
11947_20230601,1,2,2,0
11947_20230601,0,0,0,0
11947_20230601,0,0,0,0
11947_20230601,1,2,2,1
11947_20230601,1,1,2,0
11947_20230601,2,2,3,1
11947_20230601,2,2,3,1
11947_20230601,1,1,2,0
11947_20230601,1,2,2,0
11947_20230601,2,1,3,0
11947_20230601,1,2,2,1
11947_20230601,1,2,3,0
11947_20230601,2,2,3,0
11947_20230601,1,1,2,1
11947_20230601,2,1,3,0
11947_20230601,2,1,3,1
11947_20230601,1,1,3,1
11947_20230601,2,2,3,1
11947_20230601,2,1,3,1
11947_20230601,1,2,2,1
11947_20230601,1,1,3,0
11947_20230601,1,2,2,1
11947_20230601,2,1,2,0
11947_20230601,1,2,2,1
11947_20230601,2,1,2,1
11947_20230601,1,2,2,0
11947_20230601,0,0,0,0
11947_20230601,1,2,2,0
11947_20230601,2,2,3,0
11947_20230601,1,2,2,1
11947_20230601,1,2,2,1
11947_20230601,1,1,3,1
11947_20230601,1,2,2,1
11947_20230601,2,2,3,0
11947_20230601,2,1,2,1
11947_20230601,1,2,2,1
11947_20230601,2,1,3,1
11947_20230601,0,0,0,0
11947_20230601,1,2,2,1
11947_20230601,1,1,3,0
11947_20230601,2,0,2,0
11947_20230601,1,1,2,1
11947_20230601,1,2,2,1
11947_20230601,2,1,2,1
11947_20230601,2,1,3,0
11947_20230601,1,2,2,0
11947_20230601,2,1,3,1
11947_20230601,2,1,2,0
11947_20230601,1,2,3,0
11947_20230601,2,1,2,1
11947_20230601,1,1,2,1
11947_20230601,2,2,2,1
11947_20230601,1,1,2,1
11947_20230601,2,1,2,0
11947_20230601,2,1,3,1
11947_20230601,1,1,2,0
11947_20230601,2,2,3,1
11947_20230601,1,2,2,0
11947_20230601,1,1,3,0
11947_20230601,2,0,2,0
11947_20230601,1,1,2,1
11947_20230601,2,2,3,1
11947_20230601,2,2,3,0
11947_20230601,1,1,2,0
11947_20230601,2,1,3,0
11947_20230601,1,2,2,0
11947_20230601,1,2,2,1
11947_20230601,1,1,2,0
11947_20230601,2,1,3,1
11947_20230601,2,1,2,1
11947_20230601,1,2,3,0
11947_20230601,1,2,2,1
11947_20230601,2,1,3,0
11947_20230601,2,2,2,0
11947_20230601,1,1,3,1
11947_20230601,1,2,3,1
11947_20230601,1,1,2,1
11947_20230601,2,2,3,0
11947_20230601,1,0,2,0
11947_20230601,1,2,2,1
11947_20230601,1,1,2,1
11947_20230601,1,2,2,0
11947_20230601,2,1,2,1
11947_20230601,1,2,3,0
11947_20230601,1,1,2,0
11947_20230601,2,2,2,1
11947_20230601,1,1,3,1
11947_20230601,1,2,2,0
11947_20230601,2,1,2,0
11947_20230601,2,2,2,0
11947_20230601,1,2,2,0
11947_20230601,2,1,2,1
11947_20230601,1,2,3,0
11947_20230601,2,1,3,1
11947_20230601,2,2,3,0
11947_20230601,1,0,2,0
11947_20230601,1,2,2,1
11947_20230601,1,2,2,0
11947_20230601,1,2,3,1
11947_20230601,2,1,2,0
11947_20230601,2,2,2,1
11947_20230601,1,2,3,0
11947_20230601,1,2,3,0
11947_20230601,2,1,3,0
11947_20230601,2,2,3,1
11947_20230601,1,1,2,0
11947_20230601,1,1,2,0
11947_20230601,1,2,2,1
11947_20230601,1,1,2,1
11947_20230601,1,2,2,1
11947_20230601,2,1,3,1
11947_20230601,1,1,2,1
11947_20230601,2,2,3,0
11947_20230601,1,1,2,0
11947_20230601,2,2,3,0
11947_20230601,1,1,2,0
11947_20230601,1,2,2,0
11947_20230601,1,1,2,1
11947_20230601,1,2,2,1
11947_20230601,1,1,3,0
11947_20230601,2,1,2,1
11947_20230601,2,2,3,0
11947_20230601,1,1,3,0
11947_20230601,1,1,3,1
11947_20230601,2,1,2,1
11947_20230601,2,1,2,0
11947_20230601,2,1,2,0
11947_20230601,1,2,2,1
11947_20230601,1,1,2,1
11947_20230601,1,2,3,0
11947_20230601,1,1,2,0
11947_20230601,2,2,2,0
11947_20230601,1,1,2,0
11947_20230601,2,2,3,1
11947_20230601,1,1,2,0
11947_20230601,2,1,3,1
11947_20230601,2,1,3,0
11947_20230601,2,2,3,0
11947_20230601,1,1,2,0
11947_20230601,1,1,3,0
11947_20230601,2,2,3,1
11947_20230601,2,1,2,0
11947_20230601,2,1,3,0
11947_20230601,1,1,2,0
11947_20230601,2,1,3,0
11947_20230601,1,2,2,0
11947_20230601,1,2,2,1
11947_20230601,2,1,2,1
11947_20230601,1,2,2,1
11947_20230601,2,1,3,1
11947_20230601,2,2,2,0
11947_20230601,1,1,3,1
11947_20230601,0,0,0,0
11947_20230601,1,2,2,1
11947_20230601,1,1,2,0
11947_20230601,1,1,2,0
11947_20230601,1,2,2,0
11947_20230601,1,1,2,0
11947_20230601,2,1,3,1
11947_20230601,2,1,3,1
11947_20230601,2,1,3,0
11947_20230601,2,2,3,1
11947_20230601,2,2,2,1
11947_20230601,2,2,3,1
11947_20230601,2,2,2,1
11947_20230601,2,2,3,1
11947_20230601,2,1,3,0
11947_20230601,1,1,2,0
11947_20230601,1,1,3,0
11947_20230601,1,2,2,1
11947_20230601,1,1,2,0
11947_20230601,1,1,2,1
11947_20230601,1,1,2,0
11947_20230601,2,1,3,0
11947_20230601,1,1,3,0
11947_20230601,2,2,3,1
11823_20230323,2,2,3,0
11823_20230323,1,1,2,1
11823_20230323,1,1,2,0
11823_20230323,2,2,3,1
11823_20230323,2,2,3,0
11823_20230323,1,1,2,1
11823_20230323,1,1,3,0
11823_20230323,1,1,2,1
11823_20230323,1,1,2,1
11823_20230323,1,1,2,1
11823_20230323,1,1,2,1
11823_20230323,1,1,2,1
11823_20230323,1,1,2,0
11823_20230323,1,2,3,0
11823_20230323,1,2,2,0
11823_20230323,2,1,2,1
11823_20230323,1,2,3,0
11823_20230323,1,1,2,0
11823_20230323,2,1,3,1
11823_20230323,2,1,3,0
11823_20230323,1,1,2,1
11823_20230323,1,1,2,1
11823_20230323,1,1,2,0
11823_20230323,1,2,3,0
11823_20230323,1,2,2,1
11823_20230323,1,1,2,1
11823_20230323,1,1,2,1
11823_20230323,1,2,3,0
11823_20230323,1,1,2,1
11823_20230323,1,1,2,0
11823_20230323,1,2,3,0
11823_20230323,1,1,2,0
11823_20230323,1,2,2,0
11823_20230323,1,1,2,1
11823_20230323,1,1,2,1
11823_20230323,1,1,2,1
11823_20230323,1,1,2,0
11823_20230323,1,2,2,1
11823_20230323,1,2,3,0
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,1,1,3,1
11823_20230323,1,0,2,0
11823_20230323,1,1,2,0
11823_20230323,1,1,3,1
11823_20230323,1,1,2,1
11823_20230323,1,1,2,1
11823_20230323,1,1,2,0
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,1,1,2,1
11823_20230323,2,2,2,1
11823_20230323,1,1,2,0
11823_20230323,1,2,3,0
11823_20230323,1,1,3,0
11823_20230323,1,2,2,1
11823_20230323,1,1,3,1
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,1,1,2,1
11823_20230323,1,2,2,0
11823_20230323,2,2,2,1
11823_20230323,1,1,2,0
11823_20230323,1,2,2,1
11823_20230323,1,2,2,0
11823_20230323,1,1,2,0
11823_20230323,2,1,3,1
11823_20230323,2,1,3,1
11823_20230323,2,1,3,1
11823_20230323,1,1,2,1
11823_20230323,2,1,3,1
11823_20230323,2,1,2,1
11823_20230323,2,1,3,0
11823_20230323,2,2,3,0
11823_20230323,1,2,3,0
11823_20230323,1,1,2,0
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,1,2,2,0
11823_20230323,2,1,3,1
11823_20230323,2,2,3,1
11823_20230323,2,2,3,0
11823_20230323,1,1,2,1
11823_20230323,1,1,3,0
11823_20230323,1,2,3,1
11823_20230323,1,2,2,0
11823_20230323,1,2,2,1
11823_20230323,2,2,3,0
11823_20230323,2,2,3,1
11823_20230323,2,2,3,1
11823_20230323,2,2,3,0
11823_20230323,2,1,2,1
11823_20230323,2,2,3,0
11823_20230323,1,1,3,1
11823_20230323,2,1,3,0
11823_20230323,1,2,2,1
11823_20230323,1,2,3,0
11823_20230323,1,2,3,0
11823_20230323,1,2,2,0
11823_20230323,1,1,2,0
11823_20230323,1,2,2,0
11823_20230323,2,2,3,0
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,1,2,3,1
11823_20230323,1,1,3,1
11823_20230323,1,2,2,0
11823_20230323,1,1,2,0
11823_20230323,1,2,3,1
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,2,2,3,0
11823_20230323,1,2,2,0
11823_20230323,1,1,3,1
11823_20230323,2,2,2,1
11823_20230323,1,1,2,1
11823_20230323,0,0,0,0
11823_20230323,1,1,2,0
11823_20230323,1,1,3,0
11823_20230323,1,1,3,1
11823_20230323,1,1,3,0
11823_20230323,2,2,3,1
11823_20230323,2,2,3,1
11823_20230323,2,2,2,1
11823_20230323,2,2,3,0
11823_20230323,2,2,2,0
11823_20230323,1,1,3,0
11823_20230323,1,2,2,1
11823_20230323,2,2,3,0
11823_20230323,1,2,3,0
11823_20230323,2,2,3,0
11823_20230323,2,2,3,0
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,1,0,2,0
11823_20230323,1,2,2,0
11823_20230323,1,1,2,1
11823_20230323,1,1,3,1
11823_20230323,1,1,2,0
11823_20230323,2,1,3,0
11823_20230323,2,2,2,0
11823_20230323,2,1,3,0
11823_20230323,2,2,3,0
11823_20230323,1,2,3,0
11823_20230323,1,2,2,1
11823_20230323,1,1,3,1
11823_20230323,1,2,2,0
11823_20230323,2,1,3,1
11823_20230323,2,1,3,1
11823_20230323,2,2,2,1
11823_20230323,2,1,3,1
11823_20230323,2,1,3,1
11823_20230323,2,1,3,1
11823_20230323,2,1,3,0
11823_20230323,2,2,2,0
11823_20230323,2,1,2,0
11823_20230323,2,1,3,1
11823_20230323,2,1,3,1
11823_20230323,2,1,2,1
11823_20230323,2,1,2,0
11823_20230323,2,1,3,1
11823_20230323,2,1,3,0
11823_20230323,2,2,3,0
11823_20230323,1,1,3,1
11823_20230323,2,1,2,0
11823_20230323,1,1,3,0
11823_20230323,2,1,3,0
11823_20230323,2,1,3,1
11823_20230323,1,1,3,0
11823_20230323,2,2,3,0
11823_20230323,1,2,2,0
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,1,2,3,1
11823_20230323,1,2,2,0
11823_20230323,2,1,2,1
11823_20230323,1,2,3,1
11823_20230323,1,1,2,0
11823_20230323,2,2,2,1
11823_20230323,2,2,3,0
11823_20230323,2,2,2,1
11823_20230323,1,1,3,0
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,1,0,3,0
11823_20230323,1,2,2,1
11823_20230323,2,2,3,0
11823_20230323,1,2,2,1
11823_20230323,1,2,2,1
11823_20230323,1,2,2,0
11823_20230323,2,2,3,0
11823_20230323,2,2,3,0
11823_20230323,2,2,3,1
11823_20230323,2,2,3,1
11823_20230323,2,2,3,1
11876_20220812,1,2,2,0
11876_20220812,1,1,2,0
11876_20220812,2,2,3,1
11876_20220812,2,2,2,0
11876_20220812,2,2,3,1
11876_20220812,2,2,3,0
11876_20220812,2,1,3,0
11876_20220812,2,2,3,0
11876_20220812,2,2,3,0
11876_20220812,2,1,2,1
11876_20220812,1,1,2,1
11876_20220812,1,2,3,1
11876_20220812,1,1,2,1
11876_20220812,1,1,2,1
11876_20220812,1,2,3,1
11876_20220812,1,1,2,1
11876_20220812,2,2,2,1
11876_20220812,1,1,2,1
11876_20220812,1,1,2,0
11876_20220812,2,2,3,0
11876_20220812,1,1,3,1
11876_20220812,2,2,3,0
11876_20220812,1,1,3,1
11876_20220812,2,1,2,0
11876_20220812,1,1,2,0
11876_20220812,2,1,3,1
11876_20220812,2,1,2,0
11876_20220812,2,1,3,0
11876_20220812,2,2,2,1
11876_20220812,2,2,3,0
11876_20220812,1,2,2,0
11876_20220812,1,1,3,0
11876_20220812,1,1,2,0
11876_20220812,2,2,2,1
11876_20220812,2,1,3,0
11876_20220812,2,2,3,0
11876_20220812,1,2,2,1
11876_20220812,1,1,2,0
11876_20220812,1,2,3,1
11876_20220812,1,2,2,1
11876_20220812,2,2,3,0
11876_20220812,1,2,2,0
11876_20220812,2,2,2,0
11876_20220812,2,2,3,0
11876_20220812,2,2,2,1
11876_20220812,2,1,2,1
11876_20220812,1,2,2,1
11876_20220812,1,1,2,1
11876_20220812,1,2,2,0
11876_20220812,1,1,2,1
11876_20220812,1,1,3,1
11876_20220812,2,2,3,1
11876_20220812,1,2,2,1
11876_20220812,1,2,3,1
11876_20220812,1,1,2,1
11876_20220812,1,1,2,1
11876_20220812,1,2,2,0
11876_20220812,1,1,3,1
11876_20220812,1,2,3,0
11876_20220812,1,1,3,0
11876_20220812,1,1,2,0
11876_20220812,1,2,3,0
11876_20220812,1,2,2,0
11876_20220812,2,1,3,0
11876_20220812,2,2,2,1
11876_20220812,2,2,3,0
11876_20220812,1,1,2,0
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,3,0
11876_20220812,1,2,3,1
11876_20220812,1,2,2,1
11876_20220812,1,2,3,0
11876_20220812,1,2,2,0
11876_20220812,1,2,2,1
11876_20220812,1,2,3,0
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,3,0
11876_20220812,1,2,2,1
11876_20220812,1,2,2,0
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,3,0
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,2,0
11876_20220812,1,2,3,0
11876_20220812,1,2,3,0
11876_20220812,1,2,2,1
11876_20220812,1,2,3,0
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,2,0
11876_20220812,1,2,2,0
11876_20220812,1,2,2,0
11876_20220812,2,2,3,1
11876_20220812,2,2,2,1
11876_20220812,2,2,3,0
11876_20220812,2,2,3,1
11876_20220812,2,2,2,1
11876_20220812,2,2,3,1
11876_20220812,2,2,3,0
11876_20220812,1,2,2,0
11876_20220812,2,1,2,1
11876_20220812,1,1,2,0
11876_20220812,1,2,3,1
11876_20220812,1,2,2,1
11876_20220812,1,2,3,0
11876_20220812,1,2,3,0
11876_20220812,1,2,2,1
11876_20220812,1,2,3,0
11876_20220812,1,2,2,1
11876_20220812,1,2,2,0
11876_20220812,1,2,2,0
11876_20220812,1,2,2,0
11876_20220812,2,2,3,1
11876_20220812,2,2,3,0
11876_20220812,2,1,3,0
11876_20220812,2,2,2,1
11876_20220812,2,2,3,0
11876_20220812,2,1,3,1
11876_20220812,2,2,3,0
11876_20220812,2,1,2,0
11876_20220812,1,2,2,1
11876_20220812,1,2,3,0
11876_20220812,1,2,2,0
11876_20220812,1,2,3,0
11876_20220812,1,2,2,1
11876_20220812,2,1,2,0
11876_20220812,1,2,2,1
11876_20220812,2,1,3,1
11876_20220812,2,1,3,0
11876_20220812,2,2,2,1
11876_20220812,2,1,3,1
11876_20220812,2,1,3,0
11876_20220812,2,2,2,1
11876_20220812,2,2,3,0
11876_20220812,2,2,3,1
11876_20220812,2,1,2,0
11876_20220812,2,2,2,0
11876_20220812,1,2,2,0
11876_20220812,2,2,3,0
11876_20220812,2,1,3,1
11876_20220812,1,1,3,1
11876_20220812,1,1,3,0
11876_20220812,1,2,2,0
11876_20220812,1,1,3,1
11876_20220812,1,1,3,0
11876_20220812,1,1,3,1
11876_20220812,1,1,3,1
11876_20220812,1,1,3,1
11876_20220812,1,1,2,0
11876_20220812,1,1,2,0
11876_20220812,1,1,2,1
11876_20220812,1,1,3,1
11876_20220812,1,1,3,0
11876_20220812,1,1,2,0
11876_20220812,1,1,2,1
11876_20220812,1,1,2,0
11876_20220812,1,2,2,1
11876_20220812,1,2,2,0
11876_20220812,2,1,3,1
11876_20220812,2,1,3,0
11876_20220812,2,1,3,0
11876_20220812,1,2,2,1
11876_20220812,1,2,3,0
11876_20220812,1,2,2,0
11876_20220812,1,1,2,0
11876_20220812,2,1,2,1
11876_20220812,1,2,3,0
11876_20220812,1,2,2,1
11876_20220812,1,2,2,0
11876_20220812,2,1,3,1
11876_20220812,2,1,3,0
11876_20220812,1,2,2,1
11876_20220812,1,2,3,0
11876_20220812,2,1,3,0
11876_20220812,1,2,2,0
11876_20220812,1,2,2,1
11876_20220812,1,2,3,0
11876_20220812,1,2,2,1
11876_20220812,1,2,3,0
11876_20220812,2,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,1,3,0
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11876_20220812,1,2,2,1
11877_20220817,2,2,3,1
11877_20220817,2,1,3,0
11877_20220817,2,2,3,1
11877_20220817,2,2,3,1
11877_20220817,2,2,3,0
11877_20220817,2,2,3,0
11877_20220817,2,2,2,1
11877_20220817,2,2,2,1
11877_20220817,2,2,3,0
11877_20220817,2,2,3,0
11877_20220817,2,1,3,1
11877_20220817,2,1,3,1
11877_20220817,2,2,3,1
11877_20220817,2,2,3,1
11877_20220817,2,2,3,0
11877_20220817,2,2,2,0
11877_20220817,2,1,3,1
11877_20220817,2,1,3,0
11877_20220817,2,1,2,1
11877_20220817,1,2,2,0
11877_20220817,2,2,3,0
11877_20220817,2,2,2,0
11877_20220817,2,2,2,1
11877_20220817,2,2,3,0
11877_20220817,2,2,3,1
11877_20220817,2,2,2,0
11877_20220817,2,2,3,1
11877_20220817,2,2,3,0
11877_20220817,2,2,3,0
11877_20220817,2,2,3,0
11877_20220817,2,2,2,1
11877_20220817,2,2,3,0
11877_20220817,2,2,2,1
11877_20220817,2,2,3,0
11877_20220817,2,2,3,0
11877_20220817,2,2,3,0
11877_20220817,2,2,3,0
11877_20220817,2,2,3,0
11877_20220817,2,2,3,0
11877_20220817,2,2,3,0
11877_20220817,1,1,2,0
11877_20220817,1,1,2,1
11877_20220817,1,1,2,0
11877_20220817,1,1,2,0
11877_20220817,1,1,2,0
11877_20220817,1,0,2,0
11877_20220817,1,0,2,0
11877_20220817,0,0,0,0
11877_20220817,1,1,2,1
11877_20220817,1,1,2,0
11877_20220817,1,1,2,0
11877_20220817,0,0,0,0
11877_20220817,1,0,2,0
11877_20220817,1,0,2,0
11877_20220817,1,1,2,1
11877_20220817,1,1,2,1
11877_20220817,1,1,2,0
11877_20220817,1,1,2,1
11877_20220817,1,1,3,0
11877_20220817,1,1,2,1
11877_20220817,1,1,2,1
11877_20220817,1,1,2,1
11877_20220817,1,1,2,1
11877_20220817,1,1,2,1
11877_20220817,1,1,3,1
11877_20220817,1,1,3,0
11877_20220817,1,1,2,1
11877_20220817,1,1,3,1
11877_20220817,1,1,2,1
11877_20220817,1,1,3,0
11877_20220817,1,1,2,0
11877_20220817,1,1,2,0
11877_20220817,1,1,2,1
11877_20220817,1,1,2,1
11877_20220817,1,1,3,1
11877_20220817,1,1,2,0
11877_20220817,1,1,2,1
11877_20220817,1,1,2,0
11877_20220817,1,1,3,1
11877_20220817,1,1,2,1
11877_20220817,1,1,2,1
11877_20220817,1,1,3,1
11877_20220817,1,1,3,1
11877_20220817,1,1,2,0
11877_20220817,1,1,2,1
11877_20220817,1,1,2,1
11877_20220817,1,1,2,0
11877_20220817,1,1,2,1
11877_20220817,1,1,2,1
11877_20220817,1,1,3,0
11877_20220817,1,1,3,0
11877_20220817,1,1,2,1
11877_20220817,1,1,2,0
11877_20220817,1,1,3,0
11877_20220817,1,1,2,1
11877_20220817,1,1,3,0
11877_20220817,2,2,2,0
11877_20220817,1,1,2,1
11877_20220817,1,1,2,1
11877_20220817,1,1,3,1
11877_20220817,1,1,2,0
11877_20220817,1,1,2,1
11877_20220817,1,1,3,1
11877_20220817,1,1,2,0
11877_20220817,1,1,2,0
11877_20220817,0,0,0,0
11877_20220817,1,0,3,0
11877_20220817,1,1,3,1
11877_20220817,1,1,2,0
11877_20220817,1,1,2,0
11877_20220817,1,1,3,1
11877_20220817,1,1,2,1
11877_20220817,1,1,3,1
11877_20220817,1,0,2,0
11877_20220817,1,0,3,0
11877_20220817,1,1,2,0
11877_20220817,1,0,2,0
11877_20220817,0,0,0,0
11877_20220817,1,1,2,0
11877_20220817,1,1,3,0
11877_20220817,1,1,2,0
11877_20220817,1,0,2,0
11877_20220817,1,1,3,0
11877_20220817,1,1,3,1
11877_20220817,1,0,2,0
11877_20220817,1,0,2,0
11877_20220817,1,1,2,1
11877_20220817,1,1,2,0
11877_20220817,1,1,2,0
11877_20220817,2,2,2,1
11877_20220817,2,2,3,1
